T_ms,T_over_tau_ref,G_M,J_Q_plus,J_Q_minus,theta_deg,Delta_Q,J_Q_at_wM,wM_h1,wM_h2,wQ_h1,wQ_h2,KM_lambda_min,KM_herm_relerr,KQ_herm_relerr,PQ_quad_relerr,terminal_storage_direct_wM,terminal_storage_direct_wQ,path_integral_direct_wM,path_integral_direct_wQ,path_pos_wM,path_neg_wM,path_crossings_wM,path_pos_wQ,path_neg_wQ,path_crossings_wQ,path_qmax_wQ,path_t_qmax_wQ_ms,path_qmin_wQ,path_t_qmin_wQ_ms,terminal_frac_V1_SS_wM,terminal_frac_V1_SP_wM,terminal_frac_V1_II_wM,terminal_frac_V1_DP_wM,terminal_frac_V4_SS_wM,terminal_frac_V4_SP_wM,terminal_frac_V4_II_wM,terminal_frac_V4_DP_wM,terminal_frac_V1_SS_wQ,terminal_frac_V1_SP_wQ,terminal_frac_V1_II_wQ,terminal_frac_V1_DP_wQ,terminal_frac_V4_SS_wQ,terminal_frac_V4_SP_wQ,terminal_frac_V4_II_wQ,terminal_frac_V4_DP_wQ
7.000000000000000e+00,2.500000000000000e-01,3.215544887309027e-01,1.322210704106093e-03,9.262342857903642e-07,6.237105515328793e+00,1.179506742543272e-02,1.306615139700533e-03,9.989044539888322e-01,-4.679627978026551e-02,9.879076567586814e-01,-1.550434188141224e-01,8.607824410215396e-02,1.473981844675320e-16,1.003961354770162e-13,2.255005650695610e-12,3.215544887309027e-01,3.187750835210720e-01,1.306615139262000e-03,1.322210703673374e-03,1.350480083912120e-03,-4.386494447108905e-05,1,1.366123500727536e-03,-4.391279705416247e-05,1,3.836315034434249e-01,2.485000000000000e+00,-6.108343545007804e-02,7.000000000000000e+00,4.370313943985057e-01,4.805714458855101e-01,7.887803325474711e-02,4.136818057460946e-04,2.959815035489997e-03,8.501775953610924e-05,1.119669001503811e-05,4.941517044980201e-05,4.206005164888093e-01,4.894484729036919e-01,8.648926748666602e-02,2.124317185762081e-04,3.099643807482070e-03,8.952932167084350e-05,1.136763588732145e-05,4.877063721668683e-05
1.400000000000000e+01,5.000000000000000e-01,1.748263415684579e-01,1.216507698501848e-03,7.321610608843374e-06,1.975282405081550e+01,1.135316288649401e-01,1.078395597964194e-03,9.755089194449080e-01,2.199598783492750e-01,9.924476728228682e-01,-1.226687275081681e-01,8.998654640741153e-03,5.605622327885519e-17,1.361213661919224e-13,2.259387340199058e-12,1.748263415684579e-01,1.558856587420492e-01,1.078395597549816e-03,1.216507698059732e-03,1.230720265793261e-03,-1.523246682468252e-04,2,1.402787541947071e-03,-1.862798438870844e-04,2,3.839712833561552e-01,2.492000000000000e+00,-6.499096206809594e-02,7.433999999999999e+00,8.423596210659516e-01,3.811148399152658e-02,1.127132168556775e-01,6.492464460138052e-03,2.335364111168645e-04,3.871432173427637e-05,1.908286490649749e-05,3.188002894869653e-05,8.652125654713524e-01,3.420656046908827e-02,9.548823953825349e-02,4.754455658950801e-03,2.156552457521075e-04,6.161111885364202e-05,2.257798195211603e-05,3.833451579708432e-05
2.800000000000000e+01,1.000000000000000e+00,2.328171947919738e-02,1.243249974131437e-03,4.814978637950779e-06,3.088614695873492e+01,2.624910095649193e-01,9.169080332801160e-04,7.871506867279916e-01,-6.167607286327910e-01,9.921282082439957e-01,-1.252262688358902e-01,6.825268224858318e-03,0.000000000000000e+00,1.339039514741679e-13,2.278296489059575e-12,2.328171947919738e-02,1.894525429417878e-02,9.169080329840839e-04,1.243249973687220e-03,1.075426646982655e-03,-1.585186139881108e-04,3,1.435980162727095e-03,-1.927301890398740e-04,3,3.839739480338039e-01,2.492000000000000e+00,-6.499763825661017e-02,7.448000000000000e+00,6.182653674205891e-01,5.798710092547618e-02,3.006909219445530e-01,2.208083945922576e-02,8.790217500250239e-04,4.575664232988655e-05,2.881303181951533e-05,2.217882598141887e-05,4.187021973270620e-01,6.406599957128013e-02,4.817000087402404e-01,3.310766882099697e-02,2.041169177954957e-03,1.246127709576779e-04,1.012913440592303e-04,1.570522474487524e-04
5.600000000000000e+01,2.000000000000000e+00,4.101503784378692e-03,1.242526859636519e-03,6.580964367031494e-06,1.105336653190817e+01,3.656310828426627e-02,1.197096215521519e-03,9.975759896502081e-01,6.958552201002627e-02,9.924111518538093e-01,-1.229638388966267e-01,1.399088289370938e-04,1.868097902964355e-17,1.337959060270694e-13,2.291071270029243e-12,4.101503784378690e-03,3.955884294692858e-03,1.197096215078145e-03,1.242526859190755e-03,1.379641543193903e-03,-1.825453281157576e-04,5,1.438574642557382e-03,-1.960477833519256e-04,5,3.839227717156337e-01,2.464000000000000e+00,-6.499016317272210e-02,7.448000000000000e+00,6.342667942372758e-01,4.936390485046711e-02,1.794056761568103e-01,1.368336280308085e-01,8.015201146780234e-06,5.558063013721134e-07,1.136604155032040e-05,1.100596756397811e-04,6.576487018938434e-01,4.908428857901168e-02,1.753900948315486e-01,1.177580608719802e-01,1.410938032585789e-05,8.368606278654422e-07,8.763060850457483e-06,9.514452181187558e-05
1.120000000000000e+02,4.000000000000000e+00,2.407725351572161e-05,1.242225386994684e-03,6.542317987890969e-06,4.682427052368796e+01,5.290171344769217e-01,5.850668723922710e-04,7.687248594700836e-01,6.395796200886174e-01,9.924098526364102e-01,-1.229743241094608e-01,4.706605242036301e-07,1.989689858235148e-16,1.338283977087720e-13,2.291293816093679e-12,2.407725351572161e-05,1.152284213449356e-05,5.850668721436227e-04,1.242225386548835e-03,6.636774765510605e-04,-7.861060439746144e-05,8,1.438575641257296e-03,-1.963502547359875e-04,8,3.839227982949731e-01,2.464000000000000e+00,-6.495433636288857e-02,7.392000000000000e+00,5.604027952185587e-01,2.189626429814849e-02,5.320086091482523e-02,3.629827943238285e-01,8.577314399851214e-04,5.032929021505489e-05,1.536658535238286e-04,4.555586609150531e-04,5.072627292903166e-01,1.645308356725276e-02,5.478465019749647e-02,4.191870307658249e-01,1.493016631041765e-03,7.970329837170880e-05,2.197200256308382e-04,5.200662240652480e-04
2.240000000000000e+02,8.000000000000000e+00,3.495988637410501e-09,1.242228881603411e-03,6.543980882325343e-06,6.505825610409036e+01,8.178408750718505e-01,2.262833260333513e-04,5.299995265318812e-01,8.479979374243677e-01,9.924100921949144e-01,-1.229723908431537e-01,8.291267522744227e-10,0.000000000000000e+00,1.338280202927607e-13,2.291312143031086e-12,3.495988637410502e-09,1.303369404188404e-09,2.262833259208411e-04,1.242228881157561e-03,2.551541201409194e-04,-2.887079422883553e-05,12,1.438579132884264e-03,-1.963502517523824e-04,11,3.839227934007121e-01,2.464000000000000e+00,-6.495433044051632e-02,7.392000000000000e+00,6.335107125769839e-01,1.990686960414505e-02,8.594673294273875e-02,2.588866557450470e-01,6.095146331264044e-04,4.711317012415548e-05,1.779870633936441e-04,9.144142644410108e-04,1.759665490747798e-01,2.560668709340297e-03,1.690855017277179e-01,6.459604987438743e-01,2.747753336322738e-03,1.788329447970419e-04,6.028229860919022e-04,2.897372477075841e-03
