role,Mx,Ny,complex_dim,real_dim,quad_U_rel,quad_C_rel,quad_R_rel,M_min_eig,Q_min_eig,Q_max_eig,parity_U_rel,parity_C_rel,parity_A_rel,parity_Q_rel,alpha_nondim,alpha_per_day,max_real_deviation_from_minus_r,worst_cond_D,worst_eigenpair_residual,sign_witness_Q_plus,sign_witness_direct_plus,sign_witness_Q_minus,sign_witness_direct_minus,sign_witness_energy_plus,sign_witness_energy_minus
structural smoke,8,16,128,256,1.00253084458408144e-14,1.13868905799410837e-14,1.03141466101026422e-14,7.89568352087148639e+00,-1.37009862930171238e+01,1.37009862930171238e+01,8.51150704827650170e-16,8.54589750319583719e-16,9.98147412171082997e-16,9.94238147865392974e-16,-5.78703703703687539e-02,-9.99999999999972022e-02,1.24900090270330111e-15,1.28500000000000000e+02,2.66436425300048826e-15,3.38830288531191681e-02,3.38830288531188073e-02,-3.38830288531191681e-02,-3.38830288531188073e-02,1.38174461615251012e+01,1.38174461615251012e+01
coarse audit,12,24,288,576,1.00040583403652708e-14,1.15782859629755524e-14,1.01312209648186823e-14,7.89568352087148639e+00,-4.17537978062667321e+01,4.17537978062667108e+01,1.37607728803960567e-15,1.41773593557008175e-15,2.23715617313933168e-15,1.75436772087148005e-15,-5.78703703703674979e-02,-9.99999999999950373e-02,2.50494069931050944e-15,2.88500000000000000e+02,3.52433302971056108e-15,3.38830288531191681e-02,3.38830288531188073e-02,-3.38830288531191681e-02,-3.38830288531188073e-02,1.38174461615251012e+01,1.38174461615251012e+01
primary,16,32,512,1024,9.98634375388552709e-15,1.59549838281210261e-14,1.01097621990773428e-14,7.89568352087148639e+00,-8.79257669041348890e+01,8.79257669041348890e+01,1.31572256056575600e-15,1.37426509029415897e-15,3.45050592090749777e-15,1.54461729258701090e-15,-5.78703703703653538e-02,-9.99999999999913319e-02,5.56499291093359716e-15,5.12500000000000000e+02,5.33327216183672337e-15,3.38830288531191681e-02,3.38830288531188073e-02,-3.38830288531191681e-02,-3.38830288531188073e-02,1.38174461615251012e+01,1.38174461615251012e+01
confirmation,20,40,800,1600,1.00267171114172993e-14,2.17292864791594545e-14,1.02945182737303641e-14,7.89568352087148639e+00,-1.53285707206634839e+02,1.53285707206634839e+02,1.25730679790643090e-15,1.38198290587809241e-15,2.81044822811418184e-14,1.22956393655091068e-15,-5.78703703703648681e-02,-9.99999999999904854e-02,7.34134975033384762e-15,8.00500000000000000e+02,4.06195712791168399e-15,3.38830288531191681e-02,3.38830288531188073e-02,-3.38830288531191681e-02,-3.38830288531188073e-02,1.38174461615251012e+01,1.38174461615251012e+01
high-resolution audit,24,48,1152,2304,1.00965189981004178e-14,2.91128771984296568e-14,1.02735684189387341e-14,7.89568352087148639e+00,-2.38499806438762789e+02,2.38499806438762448e+02,3.11063473451161045e-15,3.09586558256281972e-15,5.20810933176570162e-14,4.40265269347934376e-15,-5.78703703703593100e-02,-9.99999999999808820e-02,1.12271303365218955e-14,1.15250000000000000e+03,6.41538740932223120e-15,3.38830288531191681e-02,3.38830288531188073e-02,-3.38830288531191681e-02,-3.38830288531188073e-02,1.38174461615251012e+01,1.38174461615251012e+01
