role,Mx,Ny,complex_dim,T_over_tau,T_seconds,T_days,G_M,J_shift_plus,J_shift_minus,angle_deg,Delta_shift,rank_M,rank_shift,dominant_m_M,dominant_m_shift,lambda_x_M_km,lambda_x_shift_km,hermiticity_KM,hermiticity_Kshift,KM_min_eig,denominator_safe,next_role,eps_G_to_next,eps_Jplus_to_next,eps_absJminus_to_next,mu_M_to_next,theta_M_to_next_deg,mu_shift_to_next,theta_shift_to_next_deg,vanloan_worst_block_rel,direct_energy_rel,direct_shift_rel,resolution_robust_for_verdict
coarse,12,24,288,8,400000,4.62962962962963,10.9712579138445,0.443723654292076,-0.443723654292073,90,1.00000000000002,1,1,5,6,4000,3333.33333333333,2.22344548742837e-16,1.11732937099599e-15,0.0143052197891247,True,primary,0.17680191526015587,0.1578667174087751,0.1578667174087857,0.4098864701728313,90.0,0.49388528151690525,90.0,,,,False
primary,16,32,512,0.25,12500,0.144675925925926,1.13612538448681,0.00842326709840894,-0.00842326709840894,78.3359852885293,0.999999999999995,1,1,16,16,1250,1250,1.04211850361007e-16,4.07922488286139e-16,0.830693771343824,True,confirmation,0.0070502367701882245,0.07082973055376607,0.07082973055376712,0.0,,0.0,,5.194935258601453e-13,1.9544022865515795e-16,1.05031570578509e-14,False
primary,16,32,512,0.5,25000,0.289351851851852,1.28852606097913,0.0166804613142975,-0.0166804613142975,77.4471614433719,0.999999999999994,1,1,16,16,1250,1250,1.47191529573952e-16,5.78835960159569e-16,0.691259683561864,True,confirmation,0.01400907952528635,0.07174557558961243,0.07174557558961439,0.0,,0.0,,5.194935258601453e-13,3.4464899337201313e-16,6.8638239229231656e-15,False
primary,16,32,512,1,50000,0.578703703703704,1.64076115581241,0.0330310539551188,-0.0330310539551188,90,0.999999999999994,1,1,14,15,1428.57142857143,1333.33333333333,1.64175140099144e-16,8.52118599289686e-16,0.483530088678711,True,confirmation,0.025441398501023532,0.07381645633889927,0.07381645633890276,0.0,,0.0,,5.194935258601453e-13,0.0,8.675966519891596e-14,False
primary,16,32,512,2,100000,1.15740740740741,2.53595708218111,0.0672409635208839,-0.0672409635208832,90,1.00000000000001,1,1,11,13,1818.18181818182,1538.46153846154,1.9140748461707e-16,1.23003427273192e-15,0.248196607190509,True,confirmation,0.03558692405867133,0.07516090575497031,0.07516090575497045,0.6435875752616718,90.0,0.0,,5.194935258601453e-13,1.7511700531939353e-16,1.0319444488257605e-14,False
primary,16,32,512,4,200000,2.31481481481481,5.22470562037571,0.159791214148452,-0.159791214148449,90,1.00000000000003,1,1,8,9,2500,2222.22222222222,2.15870188096403e-16,1.20169320858692e-15,0.0758252156326423,True,confirmation,0.03133989820552173,0.05407438378560602,0.05407438378565006,0.7832431185250546,90.0,0.8428060185222339,90.0,5.194935258601453e-13,1.8699546589954656e-15,1.198523165171751e-14,False
primary,16,32,512,8,400000,4.62962962962963,13.3276037896902,0.526904307744195,-0.526904307744199,90,0.999999999999962,1,1,6,7,3333.33333333333,2857.14285714286,3.69196247965552e-16,1.93392545604203e-15,0.0117760295321896,True,confirmation,0.07177801694276713,0.08351911098820902,0.08351911098823021,0.728056084924855,14.983050074174322,0.7513127890738873,16.505568465666148,5.194935258601453e-13,1.4661244092894024e-15,4.003428546292879e-15,False
confirmation,20,40,800,0.25,12500,0.144675925925926,1.14419221048131,0.00906536441747004,-0.00906536441747005,81.6302855835132,0.99999999999999,1,1,20,20,1000,1000,1.372269845901e-16,7.12712905328326e-16,0.824837183572328,True,high,0.0049307886452264965,0.04616821794605495,0.046168217946052637,0.0,,0.0,,9.152627138836422e-13,0.0,6.35306169175524e-14,False
confirmation,20,40,800,0.5,25000,0.289351851851852,1.30683359676249,0.0179697083855998,-0.0179697083855998,80.5770563748771,0.999999999999991,1,1,20,20,1000,1000,1.69029367260545e-16,1.14921042324279e-15,0.681575771682221,True,high,0.009844271909480323,0.04698593996611731,0.04698593996611387,0.0,,0.0,,9.152627138836422e-13,3.398207782155547e-16,6.525832498762498e-14,False
confirmation,20,40,800,1,50000,0.578703703703704,1.68359414537898,0.0356636156852353,-0.0356636156852354,78.3596914121548,0.999999999999996,1,1,20,20,1000,1000,1.79429914577024e-16,1.91500317150705e-15,0.4712284070054,True,high,0.019549094629574142,0.04998003615168214,0.04998003615167919,0.0,,0.0,,9.152627138836422e-13,1.0550980141359335e-15,6.284451780613813e-14,False
confirmation,20,40,800,2,100000,1.15740740740741,2.62953411296902,0.0727055808294679,-0.0727055808294672,90,1,1,1,15,17,1333.33333333333,1176.47058823529,2.09392692724902e-16,2.79409135368562e-15,0.239364053378801,True,high,0.02915013510543315,0.052712230668125824,0.05271223066813315,0.7010226449119739,90.0,0.0,,9.152627138836422e-13,1.6888512974971032e-16,6.298924957797203e-14,False
confirmation,20,40,800,4,200000,2.31481481481481,5.39374504090419,0.16892577112769,-0.168925771127695,90,1.00000000000005,1,1,9,11,2222.22222222222,1818.18181818182,2.50296857423968e-16,2.41264314845848e-15,0.0734488610933039,True,high,0.014440966431986432,0.0329722896410015,0.03297228964094193,0.8890082558188013,90.0,0.8818424635107762,90.0,9.152627138836422e-13,9.880093474546955e-16,5.044204716139318e-14,False
confirmation,20,40,800,8,400000,4.62962962962963,14.3582074470956,0.574921216646795,-0.574921216646812,90,1.00000000000001,1,1,6,7,3333.33333333333,2857.14285714286,2.75074926080924e-16,3.26390379282576e-15,0.0109307694849095,True,high,0.039580051963183774,0.0360226755163157,0.036022675516304586,0.7808402944455248,90.0,0.8337269694786571,90.0,9.152627138836422e-13,7.423030399632132e-16,7.53124023025608e-15,False
high,24,48,1152,0.25,12500,0.144675925925926,1.14986193666218,0.00950415428383927,-0.00950415428383925,84.2710231713148,0.999999999999999,1,1,24,24,833.333333333333,833.333333333333,1.6487382444386e-16,9.3092447914413e-16,0.820770085753411,True,,,,,,,,,1.0545252015174168e-12,3.862108968831207e-16,7.757212848950782e-14,False
high,24,48,1152,0.5,25000,0.289351851851852,1.31982632598882,0.0188556592595926,-0.0188556592595926,83.2226825824425,0.999999999999999,1,1,24,24,833.333333333333,833.333333333333,1.78400467768365e-16,1.45921047890175e-15,0.674866154458867,True,,,,,,,,,1.0545252015174168e-12,0.0,7.672812491180999e-14,False
high,24,48,1152,1,50000,0.578703703703704,1.71716312989981,0.0375398592054529,-0.0375398592054528,80.8936792167282,0.999999999999999,1,1,24,24,833.333333333333,833.333333333333,1.9023235055332e-16,2.36969685406007e-15,0.462016318284708,True,,,,,,,,,1.0545252015174168e-12,3.879269262052929e-16,7.523016544717916e-14,False
high,24,48,1152,2,100000,1.15740740740741,2.70848687119567,0.0767513137858282,-0.076751313785828,90,0.999999999999998,1,1,18,21,1111.11111111111,952.380952380952,2.25638788129754e-16,3.36054452807381e-15,0.232386558883424,True,,,,,,,,,1.0545252015174168e-12,4.91886316200623e-16,1.627334883398338e-15,False
high,24,48,1152,4,200000,2.31481481481481,5.47277723321884,0.174685553803808,-0.174685553803802,90,1.00000000000002,1,1,10,13,2000,1538.46153846154,2.83489903573373e-16,3.85757318378929e-15,0.0723881885557878,True,,,,,,,,,1.0545252015174168e-12,2.2720635878117616e-15,9.676327081346523e-14,False
high,24,48,1152,8,400000,4.62962962962963,14.9499263071795,0.59640533241249,-0.596405332412501,90,0.999999999999903,1,1,7,8,2857.14285714286,2500,2.89546693926861e-16,5.48145419594604e-15,0.0104981290606994,True,,,,,,,,,1.0545252015174168e-12,2.2575883823852897e-15,3.1459760831226615e-14,False
